ckd,diabetes,immunocompromised,lung,covid,count
0,0,0,0,0,849741
0,0,0,0,1,12594
0,0,0,1,0,71898
0,0,0,1,1,2297
0,0,1,0,0,84288
0,0,1,0,1,1995
0,0,1,1,0,22017
0,0,1,1,1,857
0,1,0,0,0,65765
0,1,0,0,1,1490
0,1,0,1,0,14130
0,1,0,1,1,516
0,1,1,0,0,14831
0,1,1,0,1,454
0,1,1,1,0,6570
0,1,1,1,1,291
1,0,0,0,0,16596
1,0,0,0,1,338
1,0,0,1,0,5608
1,0,0,1,1,168
1,0,1,0,0,9162
1,0,1,0,1,270
1,0,1,1,0,4686
1,0,1,1,1,200
1,1,0,0,0,13260
1,1,0,0,1,280
1,1,0,1,0,5710
1,1,0,1,1,223
1,1,1,0,0,6893
1,1,1,0,1,238
1,1,1,1,0,5016
1,1,1,1,1,248
