Comorbidities,Odds Ratio [95% CI]
ckd,"2.36 [1.93, 2.88]"
cld,"1.79 [1.54, 2.08]"
diab.,"1.66 [1.41, 1.97]"
immuno.,"1.78 [1.53, 2.09]"
"ckd, cld","4.22 [3.31, 5.38]"
"ckd, diab.","3.93 [3.11, 4.96]"
"ckd, immuno.","4.21 [3.31, 5.36]"
"cld, diab.","2.98 [2.39, 3.71]"
"cld, immuno.","3.19 [2.59, 3.93]"
"diab., immuno.","2.97 [2.36, 3.73]"
"ckd, cld, diab.","7.02 [5.39, 9.16]"
"ckd, diab., immuno.","7 [5.35, 9.17]"
"ckd, cld, immuno.","7.53 [5.75, 9.87]"
"cld, diab., immuno.","5.31 [4.09, 6.89]"
"ckd, cld, diab., immuno.","12.53 [9.38, 16.73]"
